sound_id,source_url,name,username,license,duration,samplerate,channels,type,tags,description,genre_inferred,bpm,key,acoustic_electronic,voice_instrumental,music_proxy_pass,duration_pass,license_pass,analysis_available,reason
512,https://freesound.org/people/jenc/sounds/512/,boomklir.wav,jenc,http://creativecommons.org/licenses/by/3.0/,2.50354,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename",,,,,,false,false,true,true,"duration,music_proxy"
513,https://freesound.org/people/jenc/sounds/513/,chrchr.wav,jenc,http://creativecommons.org/licenses/by/3.0/,2.38093,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename--metal buffing machine",,,,,,false,false,true,true,"duration,music_proxy"
514,https://freesound.org/people/jenc/sounds/514/,chwchw.wav,jenc,http://creativecommons.org/licenses/by/3.0/,2.53952,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename- plastic buffing machine",,,,,,false,false,true,true,"duration,music_proxy"
515,https://freesound.org/people/jenc/sounds/515/,dengdeng.wav,jenc,http://creativecommons.org/licenses/by/3.0/,2.27195,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename--many wrenches in a drawer",,,,,,false,false,true,true,"duration,music_proxy"
516,https://freesound.org/people/jenc/sounds/516/,dompf.wav,jenc,http://creativecommons.org/licenses/by/3.0/,1.44717,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename--moving the trash bin around",,,,,,false,false,true,true,"duration,music_proxy"
517,https://freesound.org/people/jenc/sounds/517/,dopdidop.wav,jenc,http://creativecommons.org/licenses/by/3.0/,2.27016,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename--wrenches",,,,,,false,false,true,true,"duration,music_proxy"
518,https://freesound.org/people/jenc/sounds/518/,drill1.wav,jenc,http://creativecommons.org/licenses/by/3.0/,10.412,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename--drill press on and off--nice drone",,,,,,false,false,true,true,"duration,music_proxy"
519,https://freesound.org/people/jenc/sounds/519/,drill2.wav,jenc,http://creativecommons.org/licenses/by/3.0/,7.2098,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename--drill press on and off--nice drone",,,,,,false,false,true,true,"duration,music_proxy"
520,https://freesound.org/people/jenc/sounds/520/,drill3.wav,jenc,http://creativecommons.org/licenses/by/3.0/,5.08054,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename--drill press on and off--nice drone",,,,,,false,false,true,true,"duration,music_proxy"
521,https://freesound.org/people/jenc/sounds/521/,glassy.wav,jenc,http://creativecommons.org/licenses/by/3.0/,1.32433,44100.0,1,wav,"[""field-recording"", ""machine"", ""metallic"", ""percussion""]","mono field recording made using a homemade mic
 in a machine shop, sounds like filename--wrenches as claves
",,,,,,false,false,true,true,"duration,music_proxy"
